
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    127.0.0.1:54020        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54021        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54025        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54032        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54033        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54034        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54035        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54036        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54037        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54038        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54039        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54040        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54041        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54042        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54043        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54044        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54047        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54048        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54049        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54050        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54051        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54052        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54053        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54054        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54055        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54056        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54057        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54058        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54059        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54060        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54061        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54062        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54064        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54065        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54066        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54067        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54068        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54069        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54070        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54071        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54072        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54073        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54074        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54075        127.0.0.1:49350        FIN_WAIT_2
  TCP    127.0.0.1:54161        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:54161        127.0.0.1:54165        ESTABLISHED
  TCP    127.0.0.1:54165        127.0.0.1:54161        ESTABLISHED
  TCP    172.19.192.1:139       0.0.0.0:0              LISTENING
  TCP    192.168.15.11:139      0.0.0.0:0              LISTENING
  TCP    192.168.15.11:51455    177.54.145.81:443      ESTABLISHED
  TCP    192.168.15.11:51470    20.169.174.231:443     ESTABLISHED
  TCP    192.168.15.11:53637    191.238.73.135:9354    ESTABLISHED
  TCP    192.168.15.11:53665    20.198.2.181:443       TIME_WAIT
  TCP    192.168.15.11:53719    52.168.117.175:443     ESTABLISHED
  TCP    192.168.15.11:53771    52.182.143.212:443     TIME_WAIT
  TCP    192.168.15.11:53812    140.82.112.22:443      ESTABLISHED
  TCP    192.168.15.11:53840    4.249.131.160:443      ESTABLISHED
  TCP    192.168.15.11:53993    13.107.5.93:443        TIME_WAIT
  TCP    192.168.15.11:53999    191.232.165.80:443     ESTABLISHED
  TCP    192.168.15.11:54009    13.107.5.93:443        TIME_WAIT
  TCP    192.168.15.11:54010    13.107.5.93:443        TIME_WAIT
  TCP    192.168.15.11:54016    40.126.45.17:443       ESTABLISHED
  TCP    192.168.15.11:54023    13.107.5.93:443        TIME_WAIT
  TCP    192.168.15.11:54024    20.201.28.148:443      ESTABLISHED
  TCP    192.168.15.11:54027    140.82.112.21:443      ESTABLISHED
  TCP    192.168.15.11:54076    140.82.112.22:443      ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:443               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:2179              [::]:0                 LISTENING
  TCP    [::]:7070              [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49676             [::]:0                 LISTENING
  TCP    [2804:1b1:f9c2:ab7f:752d:979a:26fe:c9bc]:51442  [2603:1030:210:f::1]:443  ESTABLISHED
